gene,objective,cycling_constraint
Stil,0.97273076,0
Smim15,0.95582414,0
Gm50203,0.955404,0
Erf,0.9522225,0
Gm44040,0.9464591,0
Gm42701,0.9388765,0
Utp18,0.9330715,0
Espl1,0.9267772,0
Haus5,0.9218849,0
Gpnmb,0.9216731,0
Ramac,0.9202783,0
Rcan3,0.91801065,0
Zxdb,0.916773,0
Slc12a5,0.9162297,0
Celsr2,0.91620946,0
N4bp1,0.9141838,0
Slamf6,0.91368014,0
Slc25a16,0.91361,0
Gm16741,0.91268873,0
Cd27,0.90954256,0
Rpl39,0.90840596,0
Aatf,0.90836626,0
Bckdk,0.9078318,0
Sft2d3,0.90674996,0
1700113A16Rik,0.9065262,0
Purb,0.9044401,0
Ncaph,0.9037529,0
Atxn2l,0.90316236,0
Tppp3,0.902224,0
D430040D24Rik,0.9021844,0
Ppil1,0.9012347,0
Fbxo21,0.90094703,0
Hmgn5,0.90037924,0
Acp1,0.9000758,0
2610507B11Rik,0.89912677,0
Gm14296,0.8985951,0
Snai1,0.8981452,0
Bmi1,0.897999,0
Birc2,0.89556754,0
Sphk1,0.89539665,0
Rhob,0.8949167,0
Gm10433,0.89464617,0
Osbpl9,0.8928688,0
Gatad2b,0.89261466,0
Mrpl34,0.89249694,0
Med15,0.8906651,0
Ndufaf8,0.8902671,0
Baiap2l1,0.8897947,0
Gm48900,0.88932055,0
Hnrnpl,0.8889855,0
Lbhd2,0.888486,0
Pan2,0.88724494,0
Plekhm2,0.8860287,0
2210020O09Rik,0.8857738,0
Smc6,0.8849297,0
Retsat,0.8836926,0
Sdc3,0.8833698,0
Clec10a,0.88242525,0
Abce1,0.8823703,0
Tmem91,0.882034,0
Gm44672,0.8819167,0
Ccnd2,0.8818933,0
Exoc5,0.8818891,0
Prss50,0.8818073,0
Mafg,0.8813996,0
Evi2a,0.8807126,0
Ppil6,0.8802199,0
Snrpd1,0.879457,0
Unc13b,0.87831986,0
Lrrc8a,0.87808704,0
Skp2,0.8780341,0
Ercc6l2,0.87790626,0
Gm49838,0.8777278,0
Cmbl,0.8777099,0
Map7d2,0.87719923,0
Gjd3,0.8762957,0
Nktr,0.8760371,0
Pnpo,0.87507075,0
Strn3,0.87492603,0
Gm45231,0.8737057,0
Usp28,0.87357116,0
Cul1,0.87349296,0
Tpm1,0.87344,0
Eea1,0.87339437,0
Kif14,0.8729064,0
Nin,0.8728085,0
Kiss1r,0.87260604,0
Grpel2,0.871558,0
Rsl24d1,0.8714933,0
Trav3-3,0.87049717,0
Cops2,0.87034255,0
Brca1,0.869874,0
Gm44053,0.8696287,0
Cdyl2,0.86931074,0
Zfp317,0.86926633,0
Snu13,0.86844987,0
Napa,0.8680096,0
Gm15672,0.8676648,1
Rpl28,0.8676648,1
Copa,0.86733884,0
Xpa,0.86684465,0
Purg,0.8664666,1
Omd,0.8656542,0
Zeb1,0.8650939,0
Rpl38,0.8650772,0
Zcchc7,0.8650468,0
Ehbp1,0.86500293,0
Mtfr1,0.8648943,0
Cd300lf,0.86467576,1
Clspn,0.86422646,0
Kcnj14,0.86394584,0
Eif4g1,0.86374956,1
Rnpepl1,0.8637214,0
Nploc4,0.8636672,0
Gm13256,0.8631585,0
Cdc42se1,0.863123,0
Nrg4,0.86310184,0
Pwp1,0.862191,1
Zfp800,0.8614123,0
Phldb2,0.8610655,0
Zfp747,0.86097103,1
Klra2,0.86066896,1
Cd4,0.86051625,0
Taf5l,0.8604554,0
4930506C21Rik,0.86035615,0
Dbf4,0.8603307,0
Mcm8,0.8602561,1
Akt2,0.8602188,0
Polh,0.86017734,0
2900026A02Rik,0.86010075,0
Erg28,0.8600427,0
Pradc1,0.859806,0
Psph,0.8594156,0
2610008E11Rik,0.8586701,0
Tgfbrap1,0.8577584,0
Ly6e,0.8573351,0
Fry,0.85696954,1
Scin,0.85658455,1
D030051J21Rik,0.8561252,1
Dlat,0.8560977,0
Abi1,0.855802,0
Cep57,0.8553891,1
Vps35,0.85514265,0
Atp6v0a2,0.85453266,0
Impdh2,0.8544395,1
Hist1h3c,0.85435915,0
Caprin2,0.8537929,1
Anks6,0.853426,1
Aip,0.8534124,0
Xxylt1,0.85291696,1
Lman1,0.85252565,0
Usp21,0.8524826,0
Anxa11,0.85242665,0
Mto1,0.8523475,0
B4gat1,0.8521543,0
Mcm3,0.85162544,0
Ppp1r3e,0.8514651,1
Mettl23,0.85128796,0
Nsmce1,0.85100293,0
Lgals3bp,0.85098714,0
Prmt2,0.8508948,0
Uqcc2,0.8508334,0
Zfand1,0.85047877,0
Fam83d,0.8503774,0
Dgcr8,0.8503134,0
Fam199x,0.85008675,1
Rps6,0.8499297,1
Rpl39l,0.8496623,0
Dbt,0.849542,1
2410018L13Rik,0.84953916,0
Ice2,0.8490764,1
H2-T22,0.8484935,1
Ccar2,0.8483361,1
Mars,0.8482934,1
Rpl36a,0.8477428,0
Tbx21,0.8477115,0
Nrde2,0.84714663,0
Rsu1,0.8468397,0
Carnmt1,0.84669447,0
Tdrd7,0.8465948,0
Phlpp1,0.84640396,1
1700052K11Rik,0.8462999,0
Gas8,0.84607375,0
Snf8,0.845403,1
Eya3,0.84486115,1
Dhx29,0.8446881,1
Rabl2,0.8440976,0
Elmod3,0.84392357,0
Gm15326,0.84334636,0
Ppp1r21,0.8430592,1
Ext1,0.84300226,0
Hbs1l,0.84264976,0
Ppp1r3g,0.8426212,0
Atp2a3,0.8418653,1
Acaa1b,0.84152716,1
Asph,0.84120584,0
Il18r1,0.84090513,1
Gm37915,0.8401747,0
Pkp4,0.8400824,1
Lrpap1,0.83992577,0
Ncam1,0.83974427,1
4930426L09Rik,0.8396325,1
Gm49774,0.83945715,1
D330041H03Rik,0.83885324,0
Arhgef11,0.8387026,0
Mmaa,0.8386815,1
Wdr12,0.83854896,0
Zfp91,0.8379271,0
Gm29156,0.83778447,0
Kcnk12,0.8374939,0
Gm20300,0.8374651,1
Gm13856,0.8371088,0
Zfp40,0.83701813,1
Gm16984,0.8369014,1
Rbsn,0.83685404,1
Olr1,0.83682674,0
Naa15,0.83589,0
Kdm4b,0.83575654,1
Pold3,0.8357239,0
Tcerg1,0.8351212,0
Mdh1,0.83470315,0
Srsf7,0.8346616,0
Cnksr1,0.83450395,1
Gm19710,0.8344982,1
Xcl1,0.8339332,0
Xpot,0.83381283,0
Gm6034,0.83354264,0
Ccng1,0.833417,1
Hat1,0.83305687,0
Ryk,0.83268315,1
Wdr24,0.83265203,1
Taco1,0.8324198,1
Klf2,0.8319526,1
Rnf115,0.8311979,0
