gene,objective,cycling_constraint
Stil,14.476523952536395,0
Gm50203,14.241179637107011,0
Smim15,14.238518240482465,0
Erf,14.17791020221291,0
Gm44040,14.101247263678681,0
Gm42701,14.01884314290394,0
Utp18,13.949505999130553,0
Espl1,13.827764283245063,0
Slc12a5,13.805756092139434,0
Haus5,13.767371665074963,0
Gpnmb,13.766456961192032,0
Ramac,13.76364965789598,0
Rcan3,13.718894268696582,0
N4bp1,13.704001978915773,0
Zxdb,13.686473471090991,0
Gm16741,13.662814602362394,0
Celsr2,13.651394855350635,0
Cd27,13.635421003125307,0
Slamf6,13.630578139055096,0
Bckdk,13.62733797074638,0
Slc25a16,13.61764943128619,0
Sft2d3,13.578991005229222,0
Aatf,13.578933128380829,0
Purb,13.572547685565816,0
Tppp3,13.566023354918087,0
Rpl39,13.56266234771802,0
Fbxo21,13.546579310188973,0
Atxn2l,13.540919244908329,0
1700113A16Rik,13.537067274880913,0
Acp1,13.534480391892664,0
D430040D24Rik,13.527402841014409,0
Ncaph,13.522234219538575,0
Ppil1,13.500106581360663,0
Hmgn5,13.495335854816691,0
Gm14296,13.493987534447696,0
Gatad2b,13.488000271274815,0
2610507B11Rik,13.474999205895703,0
Osbpl9,13.47214163326926,0
Birc2,13.471833218350307,0
Bmi1,13.43365087453323,0
Snai1,13.426590126545669,0
Ndufaf8,13.416817562767257,0
Rhob,13.409356978474998,0
Mrpl34,13.389951172857371,0
Gm10433,13.38368778118234,0
Sphk1,13.36657264189852,0
Hnrnpl,13.356359464239732,0
Map7d2,13.351258948699344,0
2210020O09Rik,13.350085112840649,0
Lbhd2,13.347659249075893,0
Med15,13.338985686153842,0
Baiap2l1,13.33761744387153,0
Gm48900,13.320599229203625,0
Clec10a,13.316927108982059,0
Retsat,13.314326308940684,0
Plekhm2,13.306818943696916,0
Tmem91,13.30338304930446,0
Smc6,13.299160089473727,0
Skp2,13.27574244373398,0
Gm44672,13.275186694698652,0
Prss50,13.26833242649082,0
Sdc3,13.265084741185648,0
Nktr,13.253384026526135,0
Pan2,13.251612823164972,0
Abce1,13.247167067793203,0
Strn3,13.244481908424468,0
Evi2a,13.239695551502738,0
Snrpd1,13.235001071371373,0
Pnpo,13.226279999804339,0
Ccnd2,13.226025082941515,0
Exoc5,13.216860640555883,0
Ppil6,13.197777246895392,0
Ercc6l2,13.187847568020809,0
Unc13b,13.187477035952297,0
Cul1,13.17846590617445,0
Mafg,13.178154430491434,0
Kiss1r,13.176582007841489,0
Cmbl,13.175909378856872,0
Nin,13.165020424876095,0
Rsl24d1,13.164246641118911,0
Gm49838,13.159870339366524,0
Snu13,13.153539405333344,0
Eea1,13.145393789418566,0
Cops2,13.134317038415343,0
Cdc42se1,13.134161962149424,0
Cdyl2,13.118503616458055,0
Grpel2,13.104924608002706,0
Trav3-3,13.096572268949831,0
Dgcr8,13.083851604097246,0
Tpm1,13.083313889124002,0
Rpl38,13.076242132618,0
Zcchc7,13.069618866107731,0
Nsmce1,13.06942441689142,0
Mtfr1,13.061567638217982,0
Brca1,13.059852187206442,0
Gjd3,13.044092300701449,0
Purg,13.042887962290319,1
Nrg4,13.041681354585739,0
Zeb1,13.039636079943765,0
Kif14,13.038556057138004,0
Napa,13.03839434277069,0
Zfp317,13.036890390218907,0
Lrrc8a,13.036424301946516,0
Vps35,13.036224122857549,0
Gm44053,13.033728904098476,0
Phldb2,13.032084734709665,0
Usp28,13.029745457214988,0
Polh,13.026228123333322,0
Copa,13.015523185842898,0
Erg28,13.007057560134207,0
Cd300lf,12.994087465331523,1
Pwp1,12.991368092699172,1
Xpa,12.989932423577839,0
Dbf4,12.989584457007982,0
Kcnj14,12.981905508046555,0
Clspn,12.981880753084257,0
Pradc1,12.981828539442128,0
Ehbp1,12.974925757528586,0
Atp6v0a2,12.974628652334566,0
Akt2,12.970850219063175,0
Nploc4,12.970474913133595,0
Anxa11,12.96813912658462,0
Rpl28,12.966688774552647,1
Gm15672,12.966688774552647,1
Gm13256,12.964312804735084,0
B4gat1,12.961986609293849,0
Rnpepl1,12.961374387040017,0
Carnmt1,12.959259733586306,0
Omd,12.95470780888367,0
2610008E11Rik,12.949971943090002,0
Tgfbrap1,12.94791072138983,0
2900026A02Rik,12.947287955625114,0
Zfp747,12.94116143145159,1
Aip,12.940351772464057,0
Mcm3,12.939021094013537,0
Cep57,12.937864392179534,1
Cd4,12.936992531781712,0
2410018L13Rik,12.936209143557345,0
Klra2,12.935532240638947,1
Taf5l,12.926618115763727,0
Mcm8,12.924278640603113,1
Mto1,12.919120512714628,0
Gm45231,12.917889406541402,0
Caprin2,12.914658543011898,1
Ly6e,12.90980074910801,0
4930506C21Rik,12.904107318371228,0
Usp21,12.902375522587327,0
Zfp800,12.900515784088952,0
Lman1,12.896548761224805,0
Tdrd7,12.89290864490659,0
Fry,12.89124038234759,1
