True,progenitor,effector,terminal exhausted,cycling,other
Arid4b,0.05660377358490566,0.1179245283018868,0.38836477987421386,0.4261006289308176,0.0110062893081761
Arid5b,0.011240632805995004,0.04454621149042465,0.41298917568692756,0.5137385512073273,0.017485428809325562
Atf2,0.12056737588652482,0.24822695035460993,0.3049645390070922,0.2978723404255319,0.028368794326241134
Batf,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
Crem,0.03416557161629435,0.42575558475689884,0.21419185282522996,0.3088042049934297,0.017082785808147174
Ctnnb1,0.5348837209302325,0.20930232558139536,0.13953488372093023,0.11627906976744186,0.0
Dkk3,0.1875,0.20833333333333334,0.22916666666666666,0.375,0.0
Dvl1,0.04201680672268908,0.30756302521008405,0.2672268907563025,0.36470588235294116,0.018487394957983194
Dvl2,0.024390243902439025,0.1155085135757018,0.3041877588587207,0.5494707777266452,0.006442705936493327
Dvl3,0.34782608695652173,0.16304347826086957,0.2391304347826087,0.22826086956521738,0.021739130434782608
Eef2,1.0,0.0,0.0,0.0,0.0
Egr1,0.27467811158798283,0.27896995708154504,0.2317596566523605,0.2145922746781116,0.0
Elf1,0.2602739726027397,0.3424657534246575,0.1780821917808219,0.2054794520547945,0.0136986301369863
Eomes,0.4375,0.3125,0.0625,0.1875,0.0
Ep300,1.0,0.0,0.0,0.0,0.0
Ezh2,0.23076923076923078,0.34615384615384615,0.15384615384615385,0.2692307692307692,0.0
Foxm1,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0
Foxo1,0.1,0.18888888888888888,0.35555555555555557,0.35555555555555557,0.0
Foxp1,0.1111111111111111,0.20915032679738563,0.32679738562091504,0.3333333333333333,0.0196078431372549
Fzd1,0.09811320754716982,0.07924528301886792,0.35094339622641507,0.43018867924528303,0.04150943396226415
Fzd3,0.19424460431654678,0.2014388489208633,0.22302158273381295,0.3597122302158273,0.02158273381294964
Fzd6,0.135678391959799,0.2613065326633166,0.2613065326633166,0.32663316582914576,0.01507537688442211
Gsk3b,0.2978723404255319,0.11063829787234042,0.251063829787234,0.31063829787234043,0.029787234042553193
Hif1a,0.032116788321167884,0.11678832116788321,0.3372262773722628,0.5065693430656935,0.0072992700729927005
Hmgb1,0.07161803713527852,0.23076923076923078,0.33687002652519893,0.3421750663129973,0.01856763925729443
Hmgb2,0.23157894736842105,0.18947368421052632,0.25263157894736843,0.3263157894736842,0.0
Id2,0.27350427350427353,0.20512820512820512,0.21367521367521367,0.2905982905982906,0.017094017094017096
Id3,0.391304347826087,0.08695652173913043,0.21739130434782608,0.30434782608695654,0.0
Ikzf3,0.053003533568904596,0.127208480565371,0.38869257950530034,0.41519434628975266,0.015901060070671377
