gene,a_i,b_i,c_i,d_i,e_i
Mrpl15,0.15693963,0.2334517,0.24954787,0.35709548,0.002965331
Lypla1,0.5107977,0.15792073,0.16135575,0.16209961,0.007826269
Tcea1,0.52450174,0.14747168,0.16046685,0.15683578,0.0107239485
Atp6v1h,0.411183,0.20168029,0.1732118,0.1898557,0.02406919
Rb1cc1,0.334724,0.18689388,0.18264522,0.25173533,0.04400158
4732440D04Rik,0.36985198,0.14628536,0.2224803,0.25047633,0.010905981
Pcmtd1,0.44935068,0.09852083,0.17725575,0.21224809,0.06262463
Gm26901,0.09033937,0.2274536,0.3116302,0.3551458,0.0154310465
Rrs1,0.14321221,0.22046784,0.24168909,0.37367254,0.020958304
Adhfe1,0.1271263,0.23095363,0.25923786,0.35077065,0.031911552
Mybl1,0.13842343,0.13607731,0.27788502,0.4173135,0.030300736
Vcpip1,0.16888382,0.2024935,0.2934278,0.3123631,0.022831798
1700034P13Rik,0.73705256,0.058107257,0.04861446,0.13203317,0.024192572
Sgk3,0.09947139,0.13186438,0.3304428,0.40320778,0.035013676
Mcmdc2,0.14804618,0.25080377,0.30981153,0.28846636,0.0028721094
Snhg6,0.28242067,0.18028395,0.2320799,0.2739815,0.031233966
Cops5,0.11742371,0.1849857,0.2807588,0.38786328,0.028968513
Cspp1,0.23595724,0.18984368,0.22624196,0.31018582,0.037771344
Arfgef1,0.3536522,0.2057616,0.2049682,0.22292505,0.012692928
Slco5a1,0.7871209,0.08889194,0.013455896,0.053751796,0.056779504
Ncoa2,0.17337105,0.1853829,0.25104326,0.35966602,0.03053677
Tram1,0.3371625,0.18031962,0.20426881,0.27027926,0.007969856
Lactb2,0.09492558,0.23453246,0.27516302,0.38394013,0.011438847
Eya1,0.3349555,0.16127943,0.24649145,0.23592028,0.021353364
Gm9947,0.07215746,0.14374326,0.31116688,0.45834795,0.014584422
Msc,0.43711662,0.15034929,0.1841071,0.18971969,0.038707376
Trpa1,0.17510256,0.19310921,0.24068162,0.3760814,0.015025198
